class,solution_treatment_time,solution_treatment_temperature,solution_cooling_method,aging_treatment_time,aging_treatment_temperature,aging_cool_method,2nd_aging_treatment_time,2nd_aging_treatment_temperature,2nd_aging_cool_method,C_mass,Si,Mn,P,S,Ni,Cr,Mo,Cu,W,Co,Al,N,Nb+Ta,B,V,Ti,Fe,Zr,Re,Y,Hf,Sn,Ti_test_temperature,test_stress,Ti_lg_RT
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,600,550,1.230448921
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,600,476,1.716003344
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,600,355,2.447158031
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,600,349,2.51851394
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,600,295,2.921686475
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,600,275,3.025305865
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,600,195,3.678518379
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,625,400,1.498310554
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,625,300,2.230448921
IMI834,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0,0,0,0.7,0,0.5,0,0,0,5.8,0,0.7,0,0,84.39,0,3.5,0,0,0,4,625,277,2.505149978
